id	tab	section_id	section_icon	section_title_ru	section_title_kz	section_sub_ru	section_sub_kz	card_type	name_ru	name_kz	description_ru	description_kz	price	qty_ru	qty_kz	badge_ru	badge_kz	emoji	image
classic-box-4	catalog	classic-boxes	🍓	Классические боксы	Классикалық бокстар	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Классический бокс 4 шт	Классикалық бокс 4 дана			2800	4 шт	4 дана			🍓	
classic-box-6	catalog	classic-boxes	🍓	Классические боксы	Классикалық бокстар	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Классический бокс 6 шт	Классикалық бокс 6 дана			4200	6 шт	6 дана			🍓	
classic-box-9	catalog	classic-boxes	🍓	Классические боксы	Классикалық бокстар	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Классический бокс 9 шт	Классикалық бокс 9 дана			6300	9 шт	9 дана	Хит	Хит	🍓	
classic-box-12	catalog	classic-boxes	🍓	Классические боксы	Классикалық бокстар	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Классический бокс 12 шт	Классикалық бокс 12 дана			8400	12 шт	12 дана			🍓	
classic-box-16	catalog	classic-boxes	🍓	Классические боксы	Классикалық бокстар	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Классический бокс 16 шт	Классикалық бокс 16 дана			11200	16 шт	16 дана			🍓	
classic-box-20	catalog	classic-boxes	🍓	Классические боксы	Классикалық бокстар	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Классический бокс 20 шт	Классикалық бокс 20 дана			14000	20 шт	20 дана			🍓	
classic-box-25	catalog	classic-boxes	🍓	Классические боксы	Классикалық бокстар	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Классический бокс 25 шт	Классикалық бокс 25 дана			17500	25 шт	25 дана			🍓	
classic-box-30	catalog	classic-boxes	🍓	Классические боксы	Классикалық бокстар	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Классический бокс 30 шт	Классикалық бокс 30 дана			21000	30 шт	30 дана			🍓	
classic-bouquet-9	catalog	classic-bouquets	💐	Классические букеты	Классикалық гүл шоқтары	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Букет 9 шт	Букет 9 дана			6750	9 шт	9 дана			💐	
classic-bouquet-12	catalog	classic-bouquets	💐	Классические букеты	Классикалық гүл шоқтары	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Букет 12 шт	Букет 12 дана			9000	12 шт	12 дана			💐	
classic-bouquet-21	catalog	classic-bouquets	💐	Классические букеты	Классикалық гүл шоқтары	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Букет 21 шт	Букет 21 дана			15750	21 шт	21 дана	Топ	Топ	💐	
classic-bouquet-25	catalog	classic-bouquets	💐	Классические букеты	Классикалық гүл шоқтары	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Букет 25 шт	Букет 25 дана			18750	25 шт	25 дана			💐	
classic-bouquet-35	catalog	classic-bouquets	💐	Классические букеты	Классикалық гүл шоқтары	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Букет 35 шт	Букет 35 дана			26250	35 шт	35 дана			💐	
classic-bouquet-51	catalog	classic-bouquets	💐	Классические букеты	Классикалық гүл шоқтары	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Букет 51 шт	Букет 51 дана			38250	51 шт	51 дана			💐	
classic-bouquet-101	catalog	classic-bouquets	💐	Классические букеты	Классикалық гүл шоқтары	Бельгийский шоколад Callebaut	Callebaut бельгиялық шоколады	price	Букет 101 шт	Букет 101 дана			75750	101 шт	101 дана			💐	
heart-box-14	catalog	heart-boxes	❤️	Коробки Сердце	Жүрек пішінді қораптар	Романтичный формат	Романтикалық формат	price	Коробка Сердце 14 шт	Жүрек қорабы 14 дана			10700	14 шт	14 дана			❤️	
heart-box-25	catalog	heart-boxes	❤️	Коробки Сердце	Жүрек пішінді қораптар	Романтичный формат	Романтикалық формат	price	Коробка Сердце 25 шт	Жүрек қорабы 25 дана			18400	25 шт	25 дана	Хит	Хит	❤️	
round-box-9	catalog	round-boxes	⭕	Круглые коробки	Дөңгелек қораптар	Стильный формат	Стильді формат	price	Круглая коробка 9 шт	Дөңгелек қорап 9 дана			8300	9 шт	9 дана			⭕	
round-box-12	catalog	round-boxes	⭕	Круглые коробки	Дөңгелек қораптар	Стильный формат	Стильді формат	price	Круглая коробка 12 шт	Дөңгелек қорап 12 дана			10400	12 шт	12 дана			⭕	
round-box-16	catalog	round-boxes	⭕	Круглые коробки	Дөңгелек қораптар	Стильный формат	Стильді формат	price	Круглая коробка 16 шт	Дөңгелек қорап 16 дана			13200	16 шт	16 дана			⭕	
round-box-25	catalog	round-boxes	⭕	Круглые коробки	Дөңгелек қораптар	Стильный формат	Стильді формат	price	Круглая коробка 25 шт	Дөңгелек қорап 25 дана			20000	25 шт	25 дана			⭕	
round-box-37	catalog	round-boxes	⭕	Круглые коробки	Дөңгелек қораптар	Стильный формат	Стильді формат	price	Круглая коробка 37 шт	Дөңгелек қорап 37 дана			28400	37 шт	37 дана			⭕	
addition-name-box	catalog	additions	✨	Дополнения	Қосымшалар	К любому заказу	Кез келген тапсырысқа	addition	Круглая именная коробка	Атаулы дөңгелек қорап			2000					📦	
addition-big-box	catalog	additions	✨	Дополнения	Қосымшалар	К любому заказу	Кез келген тапсырысқа	addition	Большая круглая коробка	Үлкен дөңгелек қорап			2500					📦	
addition-letter	catalog	additions	✨	Дополнения	Қосымшалар	К любому заказу	Кез келген тапсырысқа	addition	Буква / надпись (1 шт)	Әріп / жазу (1 дана)			200					🔤	
addition-card	catalog	additions	✨	Дополнения	Қосымшалар	К любому заказу	Кез келген тапсырысқа	addition	Открытка	Ашықхат			100					💌	
addition-banana	catalog	additions	✨	Дополнения	Қосымшалар	К любому заказу	Кез келген тапсырысқа	addition	Банан в шоколаде (2 части)	Шоколадтағы банан (2 бөлік)			1500					🍌	
addition-icecream	catalog	additions	✨	Дополнения	Қосымшалар	К любому заказу	Кез келген тапсырысқа	addition	Сублимированное мороженое 100г	Сублимацияланған балмұздақ 100г			5900					🍦	
special-mama	boxes	special-sets	🎁	Специальные наборы	Арнайы жинақтар	Уникальные подарочные коробки	Ерекше сыйлық қораптары	product	Коробка для мамы «МАМА»	Анаға арналған «МАМА» қорабы	30 штук клубники в бельгийском шоколаде Callebaut, буквы «МАМА» на коробке. Идеальный подарок для самой любимой 💕	Callebaut бельгиялық шоколадына батырылған 30 дана құлпынай, қорапта «МАМА» жазуы бар. Ең сүйікті жанға арналған тамаша сыйлық 💕	28400			Хит	Хит		https://files.catbox.moe/e515rf.jpg
special-love	boxes	special-sets	🎁	Специальные наборы	Арнайы жинақтар	Уникальные подарочные коробки	Ерекше сыйлық қораптары	product	Коробка «I Love You»	«I Love You» қорабы	22 штуки клубники в шоколаде Callebaut. Признание в любви через сладкий подарок — идеально для второй половинки 🍓❤️	Callebaut шоколадындағы 22 дана құлпынай. Тәтті сыйлық арқылы сезімді білдіру — сүйіктіңізге керемет таңдау 🍓❤️	20900						https://files.catbox.moe/oz7pr7.jpg
special-gift-28	boxes	special-sets	🎁	Специальные наборы	Арнайы жинақтар	Уникальные подарочные коробки	Ерекше сыйлық қораптары	product	Коробка подарочная	Сыйлық қорабы	28 штук клубники в бельгийском шоколаде. Стильная подарочная упаковка — для особых моментов и дорогих людей ✨	Бельгиялық шоколадтағы 28 дана құлпынай. Ерекше сәттер мен қымбат жандарға арналған стильді сыйлық қаптамасы ✨	22600						https://files.catbox.moe/m84r04.jpg
special-double-24	boxes	special-sets	🎁	Специальные наборы	Арнайы жинақтар	Уникальные подарочные коробки	Ерекше сыйлық қораптары	product	Коробка двойная	Қос қорап	24 штуки клубники в шоколаде. Двойная коробка — двойное удовольствие! Поделитесь радостью с близкими 🎀	Шоколадтағы 24 дана құлпынай. Қос қорап — қос қуаныш! Жақындарыңызбен қуанышты бөлісіңіз 🎀	18800						https://files.catbox.moe/ucb06n.jpg
special-bag-15	boxes	special-sets	🎁	Специальные наборы	Арнайы жинақтар	Уникальные подарочные коробки	Ерекше сыйлық қораптары	product	Коробка-сумочка	Сөмке-қорап	15 штук клубники в шоколаде в стильной коробке-сумочке. Оригинальный подарок — настоящий fashion-десерт 👜🍓	Стильді сөмке-қораптағы 15 дана шоколадты құлпынай. Ерекше сыйлық — нағыз fashion-десерт 👜🍓	12000						https://files.catbox.moe/79wgr6.jpg
special-heart-book-28	boxes	special-sets	🎁	Специальные наборы	Арнайы жинақтар	Уникальные подарочные коробки	Ерекше сыйлық қораптары	product	Коробка сердце-книжка	Жүрек-кітапша қорабы	28 штук клубники в шоколаде. Раскрывается как книга — внутри настоящее объяснение в любви из клубники 💖	Шоколадтағы 28 дана құлпынай. Кітап секілді ашылады — ішінде құлпынайдан жасалған шынайы махаббат хаты бар 💖	22600						https://files.catbox.moe/tmka6j.jpg
special-heart-book-20	boxes	special-sets	🎁	Специальные наборы	Арнайы жинақтар	Уникальные подарочные коробки	Ерекше сыйлық қораптары	product	Коробка сердце-книжка (M)	Жүрек-кітапша қорабы (M)	20 штук клубники в шоколаде. Компактная версия коробки-сердца — очаровательный подарок без лишних слов 🤍	Шоколадтағы 20 дана құлпынай. Жүрек-қораптың ықшам нұсқасы — артық сөзсіз сыйлауға болатын әдемі сыйлық 🤍	17000						https://files.catbox.moe/tmka6j.jpg
